name,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23
Ing,0.99997103,9.53e-10,2.85e-05,1.07e-07,2.83e-14,4.48e-14,6.36e-15,4.35e-16,9.18e-15,1.42e-18,9.74e-09,3.38e-07,2.59e-09,5.46e-14,2.61e-19,2.67e-18,8.06e-22,1.19e-09,3.26e-15,6.380000000000001e-27,1.69e-18,2.99e-23,1.1e-14,2.16e-12
ardper,1.54e-05,3e-05,7.46e-05,2.26e-05,0.597148,0.005896106,0.000198116,0.000399752,0.05976241,0.007762288,2.79e-07,0.007415906,6.2e-05,0.04520985,0.003890283,0.23139517,0.000963061,0.008661655,5.46e-06,0.000575797,0.001415761,0.02643465,0.000571098,0.002089699
hcarpe,2.73e-06,5.28e-06,1.67e-05,2.54e-06,0.076487646,0.00078885,7.13e-05,0.00044454,0.000780337,0.8152818,1.43e-08,0.023548651,1.68e-05,0.011338915,0.011564635,0.03650018,0.003504707,0.001010281,6.14e-07,0.001991084,0.016119359,0.00014226,1.91e-05,0.000361588
Pink,0.006582583,0.003981933,0.9760035,0.000693524,3.21e-05,3.71e-08,1.14e-05,3.94e-05,8.97e-08,3.89e-06,1.59e-07,0.006282757,0.005427043,1.43e-05,6.94e-06,1.33e-07,0.000330479,1.31e-07,4.73e-09,7.04e-08,4.85e-07,7.57e-11,2.06e-06,0.000587061
simm,3.26e-05,2.05e-05,0.000186391,0.000919448,0.022056978,0.010168576,0.002698629,7.73e-05,0.3041738,0.000141282,0.000108164,0.000499947,0.000238171,0.001006752,2.64e-07,0.028414216,2.93e-06,0.06430175,0.003732726,1.7e-08,0.013159325,0.002291458,0.44610968,0.09965912
kbartl,0.000209648,8.77e-06,0.000461197,3.21e-07,3.3e-05,3.9e-05,2.16e-05,1.98e-07,6.65e-06,5.96e-08,2.35e-06,0.007635131,0.9228061,0.000409175,0.013841803,4.21e-08,0.025307283,4.96e-06,1.12e-07,0.028437857,0.00033604,1.76e-08,2.19e-07,0.000438444
kouri,1.07e-05,8.4e-05,9.13e-05,1.36e-06,0.08794015,0.00354301,0.000965757,7.42e-05,0.001205699,0.003437413,4.07e-06,0.055154976,0.000258884,0.6354843,0.12353109,0.000886319,0.01425509,0.001459685,1.08e-05,0.059129708,0.011513538,2.56e-05,1.64e-05,0.000916054
dfhodd,2.22e-05,7.78e-06,2.62e-06,5.13e-05,0.13165823,0.007050887,0.001650508,6.52e-07,0.7467793,1.49e-06,1.2e-06,6.62e-05,1.7e-06,0.000403975,4.47e-07,0.023724874,3.2e-08,0.08145433,0.000165808,2.95e-10,3.58e-05,0.003505214,0.003189688,0.000225691
dakram,6.71e-13,4.23e-08,2.23e-08,3.24e-06,0.000520866,6.01e-11,1.12e-11,0.9992604,4.41e-08,0.000188415,1.92e-13,6.81e-09,3.01e-13,1.11e-05,1.67e-10,1.55e-05,4.73e-14,3.12e-07,3.99e-12,5.56e-13,5.76e-08,3.61e-09,1.31e-08,1.71e-09
pajaco,5.26e-09,2.47e-09,6.27e-08,1.5e-12,1.65e-07,6.02e-08,7.16e-10,5.63e-12,8.12e-10,6.01e-09,2.22e-13,0.001631333,0.000118277,4.32e-05,0.014205155,3.65e-09,0.90744406,1.29e-09,1.09e-12,0.076557,5.14e-07,9.68e-11,1.08e-13,7.17e-08
jbierl,5.11e-05,5.28e-06,2.44e-06,2.46e-06,1.28e-05,3.17e-06,0.018713498,1.73e-06,0.000235366,9.08e-07,0.96410906,0.000220052,0.000173475,0.000461774,3.67e-09,1.48e-08,1.01e-07,7.49e-05,0.015623489,1.19e-12,8.49e-07,1.17e-10,0.000187893,0.000119762
pjrand,4.2e-05,2.39e-06,2.22e-06,8.94e-06,0.002762351,0.029963834,0.000714653,7.61e-08,0.05158741,6.77e-08,1.54e-06,0.000149615,2.85e-06,0.000144555,3.29e-07,0.004453432,3.65e-09,0.90897816,9.05e-05,1.02e-10,0.00010157,0.000106934,0.000684044,0.000202532
boylee,3.52e-06,7.37e-10,2.88e-07,1.65e-08,0.001118112,0.84438664,4.22e-08,5.43e-12,0.009737396,8.6e-10,1.38e-11,2.98e-06,1.28e-08,2.75e-08,4.97e-07,0.10252057,1.14e-09,0.011383618,3.25e-07,1.91e-09,0.005796263,0.025027068,1.62e-05,6.5e-06
rjdunc,6.47e-10,1.13e-10,1.02e-07,2.36e-12,5.54e-06,2.9e-06,3.14e-12,1.01e-10,1.78e-09,7.24e-08,6.78e-16,3.43e-05,1.77e-06,7.39e-07,0.002368819,2.62e-05,0.013395307,1.87e-08,2.32e-14,0.9841513,1.28e-05,1.11e-07,3.89e-12,1.04e-08
lidov,3.22e-09,1.91e-08,1.17e-07,6.86e-11,0.001074669,8.53e-06,2.48e-08,4.07e-08,5.82e-08,0.000869601,2.02e-12,0.012141941,1.29e-06,0.000670089,0.87561667,0.001404246,0.016637186,3.65e-06,4.2e-11,0.0909482,0.000623497,5.59e-08,8e-11,1.13e-07
mkosto,2.84e-07,5.57e-09,4.85e-06,2.06e-08,0.008726054,0.005878602,2.84e-09,7.94e-09,0.001130589,5.87e-07,7.19e-13,1.06e-05,1.1e-08,4.92e-07,1.18e-05,0.75446147,1.93e-07,8.24e-05,5.54e-09,3.45e-05,0.010275549,0.21937875,1.5e-06,1.62e-06
rhaitk,6.39e-05,1.11e-05,7.48e-07,2.75e-05,0.000126453,5.62e-05,0.32167754,6.97e-07,0.007095202,2.91e-06,0.15130018,0.000322176,2.66e-05,0.000953079,3.8e-09,1.45e-06,8.52e-08,0.023215692,0.4922757,8.74e-14,3.26e-06,5.67e-09,0.002255976,0.000583486
sherbe,1.61e-07,8.25e-10,7.05e-07,4.99e-08,0.001875993,0.012916868,3.16e-09,1.53e-09,0.006399688,8.15e-08,2.05e-12,7.82e-07,7.38e-09,3.16e-08,6.12e-08,0.39092642,7.21e-09,0.000279605,2.49e-08,1.38e-07,0.008262154,0.57929903,3.15e-05,6.63e-06
cladam,0.000263609,0.000193007,1.3e-05,6.04e-05,0.004242106,0.000787409,0.7458231,3.2e-05,0.038581204,0.00025359,0.02907956,0.013846672,0.00040664,0.028149648,8.82e-06,0.000102179,1.94e-05,0.08510703,0.04851352,2.69e-09,0.000393955,6.16e-07,0.001916338,0.002206112
Tin,0.000104048,0.001582991,0.000504224,0.9976115,5.6e-05,4.69e-10,9.22e-11,0.000128093,3.18e-09,2.53e-08,1.3e-08,5.64e-07,6.75e-07,1.03e-05,1.67e-11,7.28e-10,3.1e-12,2.08e-07,6.82e-10,5.88e-14,8.79e-11,1.03e-13,1.43e-06,1.23e-07
jserai,1.4e-06,1.91e-06,1.4e-05,9.11e-09,0.000296948,0.000264983,0.003502891,1.21e-06,1.01e-05,0.000139149,1.84e-06,0.86634934,3.11e-05,0.002644938,0.06909835,0.037965406,0.00012542,0.001584169,1.55e-07,0.000118711,0.017816763,2.55e-05,5.58e-08,5.72e-06
sapere,5.77e-09,2.84e-10,3.36e-07,1.9e-10,8.74e-05,0.001343796,4.2e-09,5.66e-10,1.29e-05,7.21e-08,1.9e-12,5.04e-05,3.22e-10,1.58e-06,2.1e-05,0.05799662,5.16e-08,1.57e-05,3.47e-09,3.33e-07,0.9398448,0.000624687,2.61e-08,2.1e-07
Junior,0.05925557,0.7175287,0.09260815,0.12999108,1.07e-05,4.2e-09,4.27e-09,0.000169181,4.05e-08,1.71e-08,4.93e-07,4.9e-05,0.00023556,0.000122453,3.75e-09,1.97e-09,4.64e-09,6.94e-07,8.87e-10,1.33e-09,7.78e-09,3.33e-12,5.46e-06,2.29e-05
tjdyke,7.53e-05,1.76e-06,0.000143725,0.000127203,0.049335945,0.008544012,0.000160277,8.6e-05,0.04520713,4.06e-05,2.84e-06,7.28e-05,0.000829031,0.000415972,1.8e-07,0.000953934,2.25e-05,0.002039742,0.000204786,3.36e-07,8.53e-05,0.00264406,0.07622696,0.8127795
Saved_pic,0.0839934796094894,0.0030230965930968,0.3351165652275085,0.2019594609737396,1.799193341867067e-05,5.51965094928164e-05,8.788645209278911e-05,3.1182396469375817e-06,6.21679937466979e-05,1.5375032802467103e-08,0.0196232907474041,0.0002184561453759,0.0001740156731102,3.838308111880906e-05,1.1555177648059356e-10,0.194197192788124,4.067456094158928e-11,0.1535530090332031,0.0004114569746889,3.706658390001394e-05,2.1926472982158884e-05,0.0057437396608293,0.0016249411273747,3.752714110305533e-05
Donald,0.3808133602142334,0.045890696346759796,0.08077678084373474,0.0728626474738121,3.547488449839875e-05,0.02578289434313774,0.00032748657395131886,1.8769433154375292e-06,0.0001525967672932893,3.3090540085822795e-08,0.010280530899763107,0.1611659675836563,0.0007810255046933889,0.011993179097771645,0.0006097018485888839,0.0011473380727693439,4.364314065696817e-07,0.15585681796073914,0.0008677669684402645,0.0471993163228035,2.7740063160308637e-05,0.0005865684361197054,0.0005241747130639851,0.002315626945346594
